"self","description","iconUrl","name","untranslatedName","id","statusCategory"
"https://onemain.atlassian.net/rest/api/3/status/10183","","https://onemain.atlassian.net/","Cancelled","Cancelled","10183","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10184","This status is managed internally by Jira Software","https://onemain.atlassian.net/","BAU","BAU","10184","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10187","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Completed","Completed","10187","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/3; id=3; key=done; colorName=green; name=Done}"
"https://onemain.atlassian.net/rest/api/3/status/10238","(Migrated on 29 Nov 2022 21:16 UTC) (Migrated on 1 Mar 2023 00:26 UTC)","https://onemain.atlassian.net/images/icons/statuses/generic.png","In Tres Approver 1","In Tres Approver 1","10238","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10189","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Triage","Triage","10189","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10190","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Assigned","Assigned","10190","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10239","(Migrated on 29 Nov 2022 21:16 UTC) (Migrated on 1 Mar 2023 00:26 UTC)","https://onemain.atlassian.net/images/icons/statuses/generic.png","In Tres Approver 2","In Tres Approver 2","10239","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10195","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Planning","Planning","10195","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10240","(Migrated on 29 Nov 2022 21:16 UTC) (Migrated on 1 Mar 2023 00:26 UTC)","https://onemain.atlassian.net/images/icons/statuses/generic.png","Reports Complete","Reports Complete","10240","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/3; id=3; key=done; colorName=green; name=Done}"
"https://onemain.atlassian.net/rest/api/3/status/10196","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Data Collection","Data Collection","10196","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10197","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Analysis","Analysis","10197","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10211","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Ideation","Ideation","10211","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10212","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Awaiting Approval","Awaiting Approval","10212","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10241","(Migrated on 29 Nov 2022 21:16 UTC) (Migrated on 1 Mar 2023 00:26 UTC)","https://onemain.atlassian.net/images/icons/statuses/generic.png","ICON Approver","ICON Approver","10241","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10215","","https://onemain.atlassian.net/images/icons/statuses/generic.png","In Testing","In Testing","10215","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10251","(Migrated on 29 Nov 2022 21:37 UTC) (Migrated on 1 Mar 2023 04:07 UTC)","https://onemain.atlassian.net/images/icons/statuses/generic.png","Package Created","Package Created","10251","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10242","(Migrated on 29 Nov 2022 21:16 UTC) (Migrated on 1 Mar 2023 00:26 UTC)","https://onemain.atlassian.net/images/icons/statuses/generic.png","Pool Selection/Pricing","Pool Selection/Pricing","10242","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10218","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Secure Code Review","Secure Code Review","10218","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10252","(Migrated on 29 Nov 2022 21:37 UTC) (Migrated on 1 Mar 2023 04:07 UTC)","https://onemain.atlassian.net/images/icons/statuses/generic.png","In Collateral Preparer","In Collateral Preparer","10252","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
