"Id","Name","Description","IsSubtask","IconUrl","Self","GeneratedAt"
"10171","GS Request","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10303?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10171","2025-09-23 18:09:08"
"10144","SSH Access","SSH Access","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10316?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10144","2025-09-23 18:09:08"
"10160","Architecture Task","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10307?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10160","2025-09-23 18:09:08"
"10166","Indepedent Story","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10313?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10166","2025-09-23 18:09:08"
"10110","Xray Test","This is the Xray Test Issue Type. Used to define test cases of different types that can be executed multiple times using Test Execution issues.","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10600?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10110","2025-09-23 18:09:08"
"10111","Test Set","This is the Xray Test Set Issue Type. Creates a group of test cases. Used to associate all included Tests with other Xray issue types like Test Execution and Test Plan. A Test Set can also be associated with a requirement issue to provide coverage and test status.","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10601?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10111","2025-09-23 18:09:08"
"10164","MDCMS Bug","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10303?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10164","2025-09-23 18:09:08"
"10112","Test Plan","This is the Xray Test Plan Issue Type. Used to define the scope of test cases for a given test campaign and to aggregate all executions for those tests displaying the latest result for each test case.","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10602?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10112","2025-09-23 18:09:08"
"10113","Test Execution","This is the Xray Test Execution Issue Type. Used to execute test cases already defined.","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10603?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10113","2025-09-23 18:09:08"
"10114","Precondition","This is the Xray Precondition Issue Type. Used to abstract common actions that must be ensured before the test case execution. A Precondtion can be associated with multiple test cases.","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10604?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10114","2025-09-23 18:09:08"
"10126","Risk","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10308?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10126","2025-09-23 18:09:08"
"10190","Idea","Discovery idea","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10322?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10190","2025-09-23 18:09:08"
"10000","Epic","A big user story that needs to be broken down. Created by Jira Software - do not edit or delete.","","https://onemain.atlassian.net/images/icons/issuetypes/epic.svg","https://onemain.atlassian.net/rest/api/3/issuetype/10000","2025-09-23 18:09:08"
"10016","Epic","Epics track collections of related bugs, stories, and tasks.","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10307?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10016","2025-09-23 18:09:08"
"10124","Epic","Configure Rate Limiting Rule in Imperva using a custom header from Affiliates","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10307?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10124","2025-09-23 18:09:08"
"10131","Epic","Epics track collections of related bugs, stories, and tasks.","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10307?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10131","2025-09-23 18:09:08"
"10141","Epic","Epics track collections of related bugs, stories, and tasks.","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10307?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10141","2025-09-23 18:09:08"
"10189","Key Result","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10635?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10189","2025-09-23 18:09:08"
"10116","Initiative","High level Issue type for planning","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10304?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10116","2025-09-23 18:09:08"
"10188","Objective","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10636?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10188","2025-09-23 18:09:08"
"10122","Theme","Grouping above initiatives","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10300?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10122","2025-09-23 18:09:08"
