Environment,Name,SourceID (OneMain),TargetID (OneMainFinancial),MatchStatus
Source,Secure Code Review Date,customfield_10260,,No Match
Source,Outage and Backout Duration,customfield_10381,,No Match
Source,Product Lead,customfield_10261,,No Match
Source,Impact in Case of Change Failure,customfield_10382,,No Match
Source,External issue ID,customfield_10141,customfield_10250,Different ID
Source,Risk,customfield_10383,,No Match
Source,Sprint,customfield_10020,customfield_10020,Same ID
Source,Deployment Link,customfield_10384,,No Match
Source,Project Type,customfield_10142,,No Match
Source,Flagged,customfield_10021,customfield_10021,Same ID
Source,Category (migrated) (migrated) (migrated),customfield_11594,,No Match
Source,Project,customfield_10143,project,Different ID
Source,T-Shirt Size,customfield_10264,,No Match
Source,[CHART] Date of First Response,customfield_10022,customfield_10025,Different ID
Source,Integrated Deployment Link,customfield_10385,,No Match
Source,[CHART] Time in Status,customfield_10023,customfield_10026,Different ID
Source,Defect Link2,customfield_10386,,No Match
Source,Workfront Automation Required,customfield_10265,,No Match
Source,Project Lead,customfield_10144,,No Match
Source,Deployment Notes,customfield_10387,,No Match
Source,Work Type,customfield_10145,,No Match
Source,Workfront Reference Number,customfield_10266,,No Match
Source,Business Sponsor,customfield_10267,,No Match
Source,Executive Sponsor,customfield_10268,,No Match
Source,Story Points,customfield_10026,customfield_10058,Different ID
Source,Program,customfield_10137,,No Match
Source,Reviewers: Secure Code,customfield_10258,,No Match
Source,Validation Plan,customfield_10379,,No Match
Source,Story point estimate,customfield_10016,customfield_10016,Same ID
Source,Business Context,customfield_10138,,No Match
Source,Issue color,customfield_10017,customfield_10017,Same ID
Source,Freeze Approval Received,customfield_10259,,No Match
Source,Jira Issue Key,customfield_10139,,No Match
Source,Parent Link,customfield_10018,customfield_10018,Same ID
Source,Rank,customfield_10019,customfield_10019,Same ID
Source,Updated,updated,updated,Jira Native
Source,Original estimate,timeoriginalestimate,timeoriginalestimate,Jira Native
Source,Potential Workaround,customfield_10370,,No Match
Source,Contact Information,customfield_10250,,No Match
Source,Override,customfield_10251,,No Match
Source,Description,description,description,Jira Native
Source,Requested For,customfield_10130,,No Match
Source,Regulatory/Compliance/Legal (migrated) (migrated),customfield_11460,,No Match
Source,Request Type,customfield_10010,customfield_10010,Same ID
Source,Github Username,customfield_10131,,No Match
Source,Epic Name,customfield_10011,customfield_10011,Same ID
Source,Checklist Completed,customfield_10375,,No Match
Source,Override Environment,customfield_10254,,No Match
Source,Epic Status,customfield_10012,customfield_10012,Same ID
Source,Github Organizations,customfield_10134,,No Match
Source,Epic Color,customfield_10013,customfield_10013,Same ID
Source,CMS Approver,customfield_10255,,No Match
Source,Checklist Text,customfield_10377,,No Match
Source,Epic Link,customfield_10014,customfield_10014,Same ID
Source,Github Team,customfield_10135,,No Match
Source,CMS Approval Date,customfield_10256,,No Match
Source,Date moved from Deployment,customfield_10378,,No Match
Source,Approving Manager,customfield_10136,,No Match
Source,PMD Categorization,customfield_10257,,No Match
Source,Start date,customfield_10015,customfield_10015,Same ID
Source,Deployed to DevInt Status,customfield_10368,,No Match
Source,Run Instructions,customfield_10247,,No Match
Source,Value Score,customfield_10126,,No Match
Source,Change type,customfield_10005,customfield_10005,Same ID
Source,Impact to Blocked Issues,customfield_10369,,No Match
Source,External issue ID,customfield_10127,customfield_10250,Different ID
Source,ENV,customfield_10128,,No Match
Source,Critical,customfield_10249,,No Match
Source,LAN_ID,customfield_10129,,No Match
Source,Summary,summary,summary,Jira Native
Source,Request participants,customfield_10240,customfield_10322,Different ID
Source,Legal/Compliance Engaged?,customfield_10362,,No Match
Source,External issue ID,customfield_10120,customfield_10250,Different ID
Source,Development,customfield_10000,customfield_10000,Same ID
Source,One Support Engaged?,customfield_10363,,No Match
Source,Health Check,customfield_10121,,No Match
Source,Deployment Approval,customfield_10242,,No Match
Source,Business Partner,customfield_10122,,No Match
Source,Cross Department Impact?,customfield_10364,,No Match
Source,QA Deployment Date,customfield_10243,,No Match
Source,Team,customfield_10001,customfield_10001,Same ID
Source,Assumptions,customfield_10244,customfield_10092,Different ID
Source,Organizations,customfield_10002,customfield_10002,Same ID
Source,Trail Blazers Needed?,customfield_10365,,No Match
Source,End User Coordination Effort (migrated) (migrated) (migrated),customfield_11698,,No Match
Source,Category,customfield_10366,customfield_10190,Different ID
Source,External issue ID,customfield_10245,customfield_10250,Different ID
Source,Issue Attribute(s),customfield_10124,,No Match
Source,Approvers,customfield_10003,customfield_10003,Same ID
Source,Probability,customfield_10125,,No Match
Source,Request Type,customfield_10246,customfield_10010,Different ID
Source,Deployed to DevInt,customfield_10367,,No Match
Source,Impact,customfield_10004,customfield_10004,Same ID
Source,Risk and Impact Analysis,customfield_10357,,No Match
Source,Verification Priority,customfield_10236,,No Match
Source,Integrated Test Data and date/method requested,customfield_10115,,No Match
Source,End User Coordination Effort,customfield_10358,,No Match
Source,Integrated Test Data Available,customfield_10116,,No Match
Source,Planned Live Date,customfield_10237,,No Match
Source,OKR,customfield_10359,,No Match
Source,Planned Start Date (migrated 2),customfield_11207,,No Match
Source,Comment,comment,comment,Jira Native
Source,Status Category Changed,statuscategorychangedate,statuscategorychangedate,Jira Native
Source,Fix versions,fixVersions,fixVersions,Jira Native
